penalizer,l1_ratio,score0,score1,score2,score_mean
0.0001,0.0,-6.6276502861664,-6.63969238051273,-6.638974636717892,-6.6354391011323415
0.001,0.0,-6.627610150878756,-6.639631160966811,-6.639005828076589,-6.635415713307385
0.01,0.0,-6.627679504274765,-6.639417264968594,-6.639120001538064,-6.635405590260475
0.1,0.0,-6.634128670972596,-6.64352565365875,-6.6442355540180635,-6.640629959549803
1.0,0.0,-6.714680154264117,-6.716541774820358,-6.7192139474818005,-6.716811958855426
10.0,0.0,-6.895877481822513,-6.89510194754098,-6.898209431660641,-6.896396287008045
100.0,0.0,-6.971180540475407,-6.970283035705519,-6.973187056024187,-6.971550210735038
0.0001,0.25,-6.627630309326886,-6.639673404457617,-6.638986683011099,-6.635430132265202
0.001,0.25,-6.627539272547327,-6.6394891153427675,-6.639108940705601,-6.6353791095318995
0.01,0.25,-6.6280480832367115,-6.6395537414930805,-6.639492795402377,-6.635698206710722
0.1,0.25,-6.654262358012838,-6.660414240118919,-6.661773798454865,-6.658816798862207
1.0,0.25,-6.866456882576368,-6.866456331496181,-6.868395570157995,-6.867102928076849
10.0,0.25,-6.982625402297862,-6.981736202902318,-6.984589982479103,-6.9829838625597604
100.0,0.25,-6.982625380021623,-6.981736180616796,-6.984589960306123,-6.982983840314848
0.0001,0.5,-6.627615758188012,-6.639656252899486,-6.638998630812255,-6.635423547299918
0.001,0.5,-6.62750792531524,-6.639440155993418,-6.639143337671894,-6.6353638063268505
0.01,0.5,-6.629183792459056,-6.640270917304516,-6.640384069653685,-6.636612926472419
0.1,0.5,-6.676481844989625,-6.681249370174,-6.682157798058998,-6.679963004407541
1.0,0.5,-6.9697914815362925,-6.966470405806019,-6.97019915700784,-6.968820348116718
10.0,0.5,-6.982625364543698,-6.981736165119332,-6.984589944878029,-6.982983824847019
100.0,0.5,-6.982625338724968,-6.981736139277257,-6.984589919158176,-6.982983799053467
0.0001,0.75,-6.627604290283051,-6.639639765471037,-6.639014734249797,-6.635419596667962
0.001,0.75,-6.627484687152327,-6.639415650014073,-6.639147422134457,-6.635349253100286
0.01,0.75,-6.63087502516612,-6.641377378525109,-6.6417910928740245,-6.638014498855085
0.1,0.75,-6.694331765781458,-6.69987701830212,-6.70087103629,-6.698359940124526
1.0,0.75,-6.9826254204398435,-6.981736220660871,-6.984590000071379,-6.982983880390698
10.0,0.75,-6.982625422733443,-6.9817362233718585,-6.984590002862231,-6.982983882989178
100.0,0.75,-6.982625400143995,-6.981736200760233,-6.984589980356325,-6.982983860420184
0.0001,1.0,-6.627593981822111,-6.639623491604054,-6.639027667592067,-6.635415047006077
0.001,1.0,-6.627481661942031,-6.639416765927215,-6.639179652666251,-6.635359360178499
0.01,1.0,-6.632704506167331,-6.642859219159836,-6.643243816852246,-6.639602514059805
0.1,1.0,-6.707752915153152,-6.712019363509049,-6.714432761386252,-6.711401680016151
1.0,1.0,-6.982625335367322,-6.981736135746994,-6.9845899155705435,-6.98298379556162
10.0,1.0,-6.982625432221092,-6.981736232869995,-6.984590012316806,-6.982983892469297
100.0,1.0,-6.98262541012248,-6.981736210749111,-6.9845899902989315,-6.982983870390174
